"","ProductType.Accessories","ProductType.Display","ProductType.ExtendedWarranty","ProductType.GameConsole","ProductType.Laptop","ProductType.Netbook","ProductType.PC","ProductType.Printer","ProductType.PrinterSupplies","ProductType.Smartphone","ProductType.Software","ProductType.Tablet","Price","x4StarReviews","x3StarReviews","x2StarReviews","x1StarReviews","PositiveServiceReview","NegativeServiceReview","Recommendproduct","ShippingWeight","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume","ProductNum"
"ProductType.Accessories",1,-0.179161283295523,-0.262265264156481,-0.111111111111111,-0.136963567268886,-0.111111111111111,-0.159188977646973,-0.291491544065069,-0.136963567268886,-0.159188977646973,-0.19758299278794,-0.136963567268886,-0.384906123770142,0.156715125841293,0.110608917869171,0.0330555552694098,-0.0416470413122403,0.00269922397113007,-0.148034357004592,0.058505350759144,-0.341367875448247,0.191398963461812,-0.154462467281898,-0.0605217742360757,-0.626935212004751,0.127803771221898,-0.338862490060039
"ProductType.Display",-0.179161283295523,1,-0.0975900072948533,-0.0413449115297362,-0.0509647191437626,-0.0413449115297362,-0.0592348877759092,-0.108465228909328,-0.0509647191437626,-0.0592348877759092,-0.0735214622093808,-0.0509647191437626,0.231729810112898,-0.0029383203199757,-0.038495397892136,-0.027086356937442,-0.0362846406131989,-0.0943842062063324,-0.0186175536383366,0.0723981961705557,0.103740594742101,0.0152839533618776,0.284471225537471,0.184865929561608,0.039066904189914,-0.0375838563072547,0.084073898964301
"ProductType.ExtendedWarranty",-0.262265264156481,-0.0975900072948533,1,-0.0605227532668802,-0.0746047096952991,-0.0605227532668802,-0.086710996952412,-0.158776837207489,-0.0746047096952991,-0.086710996952412,-0.107624400500126,-0.0746047096952991,-0.0978027836776451,-0.0994666495692997,-0.0993444566582842,-0.0934837624275868,-0.0518930636236877,0.627109511012085,0.0152884410342748,0.14451832825402,-0.236802620271325,-0.157071240156454,-0.436404405787049,-0.345552856740185,0.802267233109969,0.0708652759829084,-0.086078970693744
"ProductType.GameConsole",-0.111111111111111,-0.0413449115297362,-0.0605227532668802,1,-0.0316069770620507,-0.0256410256410256,-0.0367359179185323,-0.0672672793996312,-0.0316069770620507,-0.0367359179185323,-0.0455960752587553,-0.0316069770620507,-0.0155437588798162,0.344636606682961,0.258709076474628,0.074429823917101,0.00330098289800005,-0.0142673267045447,0.0819492667501642,0.126534828386056,-0.00607279457167329,-0.0192607203367977,0.0220142711189642,-0.0411363274422605,-0.00623012540453747,0.388298240911086,0.340268975343419
"ProductType.Laptop",-0.136963567268886,-0.0509647191437626,-0.0746047096952991,-0.0316069770620507,1,-0.0316069770620507,-0.0452833412851726,-0.0829184989234173,-0.038961038961039,-0.0452833412851726,-0.0562050100880977,-0.038961038961039,0.296140664292308,-0.0529742994636726,-0.0456798270505077,-0.0380073895881046,-0.0219940354811434,-0.0857165061743666,0.052417535575824,-0.0117401255183781,-0.055573161679371,-0.00503388795122438,-0.0423319723017654,-0.0756006671044424,-0.0816323857940652,-0.0697995815629212,-0.187367237181488
"ProductType.Netbook",-0.111111111111111,-0.0413449115297362,-0.0605227532668802,-0.0256410256410256,-0.0316069770620507,1,-0.0367359179185323,-0.0672672793996312,-0.0316069770620507,-0.0367359179185323,-0.0455960752587553,-0.0316069770620507,0.0558706099631998,-0.080179831825778,-0.0587413367001734,-0.0431140347145022,-0.0281985924685364,-0.0775062883138777,-0.0475925294872087,-0.363277410527708,-0.0600590773942258,-0.0319235973679957,0.062212188307191,-0.117742467110128,-0.0616090178893148,-0.0700105446676896,0.222726990946667
"ProductType.PC",-0.159188977646973,-0.0592348877759092,-0.086710996952412,-0.0367359179185323,-0.0452833412851726,-0.0367359179185323,1,-0.0963738849304853,-0.0452833412851726,-0.0526315789473684,-0.0653255334464013,-0.0452833412851726,0.547112596496255,-0.122216488807661,-0.100934592575236,-0.0693100424307846,-0.0428729934507037,-0.109385958178377,-0.088359184900213,0.0935672514619883,0.317383147603438,0.0540116180134712,0.202112596708963,0.349917344847022,-0.0238024150502581,-0.102891675829251,-0.263830575406688
"ProductType.Printer",-0.291491544065069,-0.108465228909328,-0.158776837207489,-0.0672672793996312,-0.0829184989234173,-0.0672672793996312,-0.0963738849304853,1,-0.0829184989234173,-0.0963738849304853,-0.119617833424335,-0.0829184989234173,-0.0372122876490328,-0.133159177698713,-0.121109706475074,-0.0870255668102993,-0.0602040715405591,-0.184785826196116,0.00812668148350704,-0.149914932114088,0.757676417042406,0.0292435662297912,0.555981504888281,0.515703795610184,-0.0556915521325541,-0.149200678526086,0.249589094726882
"ProductType.PrinterSupplies",-0.136963567268886,-0.0509647191437626,-0.0746047096952991,-0.0316069770620507,-0.038961038961039,-0.0316069770620507,-0.0452833412851726,-0.0829184989234173,1,-0.0452833412851726,-0.0562050100880977,-0.038961038961039,-0.114773626715799,-0.111002684035187,-0.0948611504986846,-0.0581914940635324,-0.0386602131129651,-0.0964904847692963,-0.0818083833379858,-0.0788265570519672,-0.0727270181758091,-0.066864039497469,-0.184183428718055,-0.0747356571672899,0.276753698179879,-0.090403335470175,-0.0932501847968674
"ProductType.Smartphone",-0.159188977646973,-0.0592348877759092,-0.086710996952412,-0.0367359179185323,-0.0452833412851726,-0.0367359179185323,-0.0526315789473684,-0.0963738849304853,-0.0452833412851726,1,-0.0653255334464013,-0.0452833412851726,0.00135895373086431,-0.0732646241316956,-0.054335057683622,-0.0378911655355966,-0.0314360737846905,-0.0939172368198185,-0.0560818570827836,-0.0233918128654971,-0.133107176997059,-0.0741893499471648,-0.110745236111566,-0.196337599641272,-0.0535554338630806,-0.0385082751254447,0.431369467808971
"ProductType.Software",-0.19758299278794,-0.0735214622093808,-0.107624400500126,-0.0455960752587553,-0.0562050100880977,-0.0455960752587553,-0.0653255334464013,-0.119617833424335,-0.0562050100880977,-0.0653255334464013,1,-0.0562050100880977,-0.0587808271275771,0.154461168550366,0.234863478213003,0.350735806924654,0.393364233856419,-0.0418275845687191,0.406129939181868,-0.0653255334464014,-0.16787995931746,-0.07184821383611,-0.183007483018516,-0.129304213736896,0.0915018671668695,0.00119647177193154,-0.214914071981372
"ProductType.Tablet",-0.136963567268886,-0.0509647191437626,-0.0746047096952991,-0.0316069770620507,-0.038961038961039,-0.0316069770620507,-0.0452833412851726,-0.0829184989234173,-0.038961038961039,-0.0452833412851726,-0.0562050100880977,1,0.131659519787941,-0.00243344838525704,0.00563981480845941,-0.0134981198679423,-0.0266038292942005,-0.0819139254938032,-0.0494090236001696,0.0888895217820055,-0.0984142652136224,-0.0361574651550667,0.0392811944034972,-0.170078974684549,0.0264523061980769,-0.0509419084952652,0.332753315470362
"Price",-0.384906123770142,0.231729810112898,-0.0978027836776451,-0.0155437588798162,0.296140664292308,0.0558706099631998,0.547112596496255,-0.0372122876490328,-0.114773626715799,0.00135895373086431,-0.0587808271275771,0.131659519787941,1,-0.165283698998628,-0.15053761263512,-0.110681189313799,-0.0839573320106058,-0.1421432911785,-0.0607903734013516,0.0689303570441036,0.416777401464531,0.0109676486021099,0.382397532833337,0.294160596626057,0.0996694054392855,-0.142343989943956,-0.0397487277800287
"x4StarReviews",0.156715125841293,-0.0029383203199757,-0.0994666495692997,0.344636606682961,-0.0529742994636726,-0.080179831825778,-0.122216488807661,-0.133159177698713,-0.111002684035187,-0.0732646241316956,0.154461168550366,-0.00243344838525704,-0.165283698998628,1,0.937214175138633,0.679005621353529,0.444941716823993,0.483421283165878,0.533222177680634,0.0714153314661591,-0.194914093785226,-0.0317207110631592,-0.000647612524295935,-0.085855970813991,-0.146653802043998,0.879006394026042,0.119400606679544
"x3StarReviews",0.110608917869171,-0.038495397892136,-0.0993444566582842,0.258709076474628,-0.0456798270505077,-0.0587413367001734,-0.100934592575236,-0.121109706475074,-0.0948611504986846,-0.054335057683622,0.234863478213003,0.00563981480845941,-0.15053761263512,0.937214175138633,1,0.861480049847845,0.679276157852809,0.418517392519018,0.684096618578341,-0.056613257167212,-0.171842041774068,-0.0493765025887718,-0.0188389256166022,-0.0680814056311416,-0.128706922194661,0.76337318860758,0.0902006418981976
"x2StarReviews",0.0330555552694098,-0.027086356937442,-0.0934837624275868,0.074429823917101,-0.0380073895881046,-0.0431140347145022,-0.0693100424307846,-0.0870255668102993,-0.0581914940635324,-0.0378911655355966,0.350735806924654,-0.0134981198679423,-0.110681189313799,0.679005621353529,0.861480049847845,1,0.951912977750825,0.308901370285703,0.864754808179532,-0.197917978521754,-0.128685585717918,-0.0426360072023787,-0.065799979409692,-0.0137748052338846,-0.0900937151779324,0.48727932758454,-0.00453309938532341
"x1StarReviews",-0.0416470413122403,-0.0362846406131989,-0.0518930636236877,0.00330098289800005,-0.0219940354811434,-0.0281985924685364,-0.0428729934507037,-0.0602040715405591,-0.0386602131129651,-0.0314360737846905,0.393364233856419,-0.0266038292942005,-0.0839573320106058,0.444941716823993,0.679276157852809,0.951912977750825,1,0.200035287917508,0.884728323145863,-0.246092974423077,-0.0956561916079239,-0.0346398006810644,-0.101139826393846,0.00251785875613338,-0.031227760446718,0.25502390358328,-0.0630638501140147
"PositiveServiceReview",0.00269922397113007,-0.0943842062063324,0.627109511012085,-0.0142673267045447,-0.0857165061743666,-0.0775062883138777,-0.109385958178377,-0.184785826196116,-0.0964904847692963,-0.0939172368198185,-0.0418275845687191,-0.0819139254938032,-0.1421432911785,0.483421283165878,0.418517392519018,0.308901370285703,0.200035287917508,1,0.26554974710073,0.232828809972269,-0.270738542826657,-0.0505265915052735,-0.339093728471111,-0.314294444638157,0.423591715887574,0.62226021891923,-0.0577480622845897
"NegativeServiceReview",-0.148034357004592,-0.0186175536383366,0.0152884410342748,0.0819492667501642,0.052417535575824,-0.0475925294872087,-0.088359184900213,0.00812668148350704,-0.0818083833379858,-0.0560818570827836,0.406129939181868,-0.0494090236001696,-0.0607903734013516,0.533222177680634,0.684096618578341,0.864754808179532,0.884728323145863,0.26554974710073,1,-0.188329241890307,-0.111793874057014,-0.067410452167803,-0.0972071272393274,-0.0207353053733958,0.0420356298466211,0.309418988539961,-0.0194271552564355
"Recommendproduct",0.058505350759144,0.0723981961705557,0.14451832825402,0.126534828386056,-0.0117401255183781,-0.363277410527708,0.0935672514619883,-0.149914932114088,-0.0788265570519672,-0.0233918128654971,-0.0653255334464014,0.0888895217820055,0.0689303570441036,0.0714153314661591,-0.056613257167212,-0.197917978521754,-0.246092974423077,0.232828809972269,-0.188329241890307,1,-0.126043886781709,0.0903582658301239,0.0110910858979208,-0.0437157554884842,0.0957606420308993,0.169541264002013,0.00388621142170243
"ShippingWeight",-0.341367875448247,0.103740594742101,-0.236802620271325,-0.00607279457167329,-0.055573161679371,-0.0600590773942258,0.317383147603438,0.757676417042406,-0.0727270181758091,-0.133107176997059,-0.16787995931746,-0.0984142652136224,0.416777401464531,-0.194914093785226,-0.171842041774068,-0.128685585717918,-0.0956561916079239,-0.270738542826657,-0.111793874057014,-0.126043886781709,1,0.0655969244631905,0.692473518093736,0.700311108736773,-0.0792153792359578,-0.188023980197234,0.0812387823217437
"ProductDepth",0.191398963461812,0.0152839533618776,-0.157071240156454,-0.0192607203367977,-0.00503388795122438,-0.0319235973679957,0.0540116180134712,0.0292435662297912,-0.066864039497469,-0.0741893499471648,-0.07184821383611,-0.0361574651550667,0.0109676486021099,-0.0317207110631592,-0.0493765025887718,-0.0426360072023787,-0.0346398006810644,-0.0505265915052735,-0.067410452167803,0.0903582658301239,0.0655969244631905,1,-0.00600851167701784,0.0254849931137184,-0.207176026280335,0.0661052491056123,0.0361879697195868
"ProductWidth",-0.154462467281898,0.284471225537471,-0.436404405787049,0.0220142711189642,-0.0423319723017654,0.062212188307191,0.202112596708963,0.555981504888281,-0.184183428718055,-0.110745236111566,-0.183007483018516,0.0392811944034972,0.382397532833337,-0.000647612524295935,-0.0188389256166022,-0.065799979409692,-0.101139826393846,-0.339093728471111,-0.0972071272393274,0.0110910858979208,0.692473518093736,-0.00600851167701784,1,0.566827112922554,-0.291436396819691,-0.143436609234817,0.12679342728856
"ProductHeight",-0.0605217742360757,0.184865929561608,-0.345552856740185,-0.0411363274422605,-0.0756006671044424,-0.117742467110128,0.349917344847022,0.515703795610184,-0.0747356571672899,-0.196337599641272,-0.129304213736896,-0.170078974684549,0.294160596626057,-0.085855970813991,-0.0680814056311416,-0.0137748052338846,0.00251785875613338,-0.314294444638157,-0.0207353053733958,-0.0437157554884842,0.700311108736773,0.0254849931137184,0.566827112922554,1,-0.288106288952952,-0.160004003301731,-0.0462202253633351
"ProfitMargin",-0.626935212004751,0.039066904189914,0.802267233109969,-0.00623012540453747,-0.0816323857940652,-0.0616090178893148,-0.0238024150502581,-0.0556915521325541,0.276753698179879,-0.0535554338630806,0.0915018671668695,0.0264523061980769,0.0996694054392855,-0.146653802043998,-0.128706922194661,-0.0900937151779324,-0.031227760446718,0.423591715887574,0.0420356298466211,0.0957606420308993,-0.0792153792359578,-0.207176026280335,-0.291436396819691,-0.288106288952952,1,-0.0134486026028147,0.0397151406709117
"Volume",0.127803771221898,-0.0375838563072547,0.0708652759829084,0.388298240911086,-0.0697995815629212,-0.0700105446676896,-0.102891675829251,-0.149200678526086,-0.090403335470175,-0.0385082751254447,0.00119647177193154,-0.0509419084952652,-0.142343989943956,0.879006394026042,0.76337318860758,0.48727932758454,0.25502390358328,0.62226021891923,0.309418988539961,0.169541264002013,-0.188023980197234,0.0661052491056123,-0.143436609234817,-0.160004003301731,-0.0134486026028147,1,0.166120762509489
"ProductNum",-0.338862490060039,0.084073898964301,-0.086078970693744,0.340268975343419,-0.187367237181488,0.222726990946667,-0.263830575406688,0.249589094726882,-0.0932501847968674,0.431369467808971,-0.214914071981372,0.332753315470362,-0.0397487277800287,0.119400606679544,0.0902006418981976,-0.00453309938532341,-0.0630638501140147,-0.0577480622845897,-0.0194271552564355,0.00388621142170243,0.0812387823217437,0.0361879697195868,0.12679342728856,-0.0462202253633351,0.0397151406709117,0.166120762509489,1
